Type,Name,SKU,Description,KGs,Selling Price - Old,Decor,Storage,Outdoor,Beds,Lighting,Tables,Chairs,Sofas,Selling Price - New,Discounted
Wegner Round,"Wegner Round Chair, Walnut",4646,"Immerse yourself in the mid-century modern charm with the iconic Round Chair, an exquisite offering from 4orm4. Channeling the timeless appeal of 1940s design, this chair boasts a delightful woven cane seat, seamlessly paired with a gracefully curved wooden semi-circle back and armrest. Its elegant craftsmanship and intricate design elements speak to the enduring legacy of Danish design. Emitting an aura of welcoming warmth and timeless sophistication, this Wegner Round Chair perfectly encapsulates an era defined by its graceful balance of simplicity and elegance, making it a treasured piece for any modern living area.",10,1165.00,,,,,,,1958.00,,1958.00,979.00
Wegner Table,"Wegner Dining Table, Walnut",4645,"Drawing inspiration from 1960s Danish furniture design, this table exudes casual elegance, making it a charming addition to any space—whether it's a dining room, kitchen, or breakfast nook. It beautifully marries classic design elements with a modern touch, ensuring it remains a timeless piece that enhances various interior styles. With its welcoming vibe and versatile charm, this table naturally fits into its surroundings, adding a cozy sophistication that elevates any room. As a true reflection of the lasting appeal of Danish design, it serves as an enchanting piece that perfectly balances comfort and style in any living area.",20,7499.00,,,,,,5578.00,,,5578.00,2789.00
Vintage Tan Vegan Leather,,,,,,,,,,,,,,0.00,0
Vintage Black Vegan Leather,,,,,,,,,,,,,,0.00,0
Umi,"Umi Lounge Chair, White Mongolian Wool",2165,"Transform your living area with the Umi Lounge Chair from 4orm4, a modern marvel that effortlessly combines sleek sophistication with an exotic flair. Wrapped in luxurious white Mongolian wool, this chair is a true symbol of elegance, offering an irresistible charm and vibrant presence that will catch the eye of anyone who enters the room. The Umi Lounge Chair goes beyond being just a fashionable addition; it embodies a soothing luxury, welcoming you into a realm of comfort and relaxation. With its flawless fusion of contemporary design and the plush appeal of Mongolian wool, it creates an atmosphere that goes beyond mere looks, instilling a sense of calm in your home. Whether you're looking to make a bold statement in your decor or create a cozy corner to unwind after a demanding day, the Umi Lounge Chair is your ideal sanctuary, where style and comfort coexist in perfect harmony.",10,2165.00,,,,,,,1778.00,,1778.00,889.00
Tyge,"Tyge Three Seater Sofa, Bourbon Vegan Leather",2408,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",66,5165.00,,,,,,,,2378.00,2378.00,1189.00
Tyge,"Tyge Two Seater Sofa, Bourbon Vegan Leather",2405,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",44,3499.00,,,,,,,,1578.00,1578.00,789.00
Tyge,"Tyge Sectional, Right Chaise, Bourbon Vegan Leather",2403,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",85,6665.00,,,,,,,,2858.00,2858.00,1429.00
Tyge,"Tyge Open End Sofa, Right, Bourbon Vegan Leather",2406,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",63,4832.00,,,,,,,,2078.00,2078.00,1039.00
Tyge,"Tyge Sectional, Left Chaise, Bourbon Vegan Leather",2404,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",85,6665.00,,,,,,,,2858.00,2858.00,1429.00
Tyge,"Tyge Open End Sofa, Left, Bourbon Vegan Leather",2407,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",63,4832.00,,,,,,,,2078.00,2078.00,1039.00
Tyge,"Tyge Module, Ottoman, Bourbon Vegan Leather",2179,"The Tyke Ottoman is the ideal partner for the Tyge Sofa, bringing both style and practicality to your living space. Made with meticulous attention to detail and superb craftsmanship, this ottoman perfectly complements the sofa's clean lines and minimalist design. However, it also shines as a stunning standalone piece. Sharing the same sleek silhouette as the sofa, the Tyke Ottoman adds a contemporary flair to any modern setting. Its versatile design allows it to be used as a footrest or additional seating, making it a perfect addition to your living room or lounge area.",19,1582.00,,,,,,,,478.00,478.00,239.00
Tyge,"Tyge Module, Armless Seat, Bourbon Vegan Leather",2178,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",22,1999.00,,,,,,,,798.00,798.00,399.00
Tyge,"Tyge Sectional, Large Right Corner, Bourbon Vegan Leather",2401,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",148,11665.00,,,,,,,,4938.00,4938.00,2469.00
Tyge,"Tyge Sectional, Large Left Corner, Bourbon Vegan Leather",2402,"The Tyge Sofa is an exquisite piece that beautifully marries contemporary style with enduring comfort. Thoughtfully crafted with meticulous detail and dedication to quality, this sofa captures the spirit of modern living. A standout feature of the Tyge Sofa is its crisp lines and minimalist design. With its sleek and sophisticated silhouette, it adds a touch of elegance to any modern setting. Whether gracing a spacious living room or nestled in a cozy den, this sofa effortlessly enhances the room's atmosphere.",148,11665.00,,,,,,,,4938.00,4938.00,2469.00
Tufty,"Tufty Sectional, U Shape, Royal Blue Wool",5437,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",304,18332.00,,,,,,,,19958.00,19958.00,9979.00
Tufty,"Tufty Sectional, U Shape, Light Gray Wool",5436,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",304,18332.00,,,,,,,,19958.00,19958.00,9979.00
Tufty,"Tufty Sectional, Small L, Left, Royal Blue Wool",5433,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",121,5999.00,,,,,,,,6558.00,6558.00,3279.00
Tufty,"Tufty Sectional, Small L, Right, Royal Blue Wool",5435,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",121,5999.00,,,,,,,,6558.00,6558.00,3279.00
Tufty,"Tufty Sectional, Small L, Right, Light Gray Wool",5434,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",121,5999.00,,,,,,,,6558.00,6558.00,3279.00
Tufty,"Tufty Sectional, Small L, Left, Light Gray Wool",5432,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",121,5999.00,,,,,,,,6558.00,6558.00,3279.00
Tufty,"Tufty Sectional, Right Corner, Royal Blue Wool",5431,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",189,9999.00,,,,,,,,10218.00,10218.00,5109.00
Tufty,"Tufty Sectional, Right Corner, Light Gray Wool",5430,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",189,9999.00,,,,,,,,10218.00,10218.00,5109.00
Tufty,"Tufty Sectional, Left Corner, Royal Blue Wool",5429,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",189,9999.00,,,,,,,,10218.00,10218.00,5109.00
Tufty,"Tufty Sectional, Left Corner, Light Gray Wool",5428,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",189,9999.00,,,,,,,,10218.00,10218.00,5109.00
Tufty,"Tufty Sectional, Large Right Corner, Royal Blue Wool",5425,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",258,13332.00,,,,,,,,14858.00,14858.00,7429.00
Tufty,"Tufty Sectional, Large Right Corner, Light Gray Wool",5424,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",258,13332.00,,,,,,,,14858.00,14858.00,7429.00
Tufty,"Tufty Sectional, Large, Right Chaise, Royal Blue Wool",5427,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",150,8165.00,,,,,,,,6758.00,6758.00,3379.00
Tufty,"Tufty Sectional, Large Left Corner, Royal Blue Wool",5423,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",258,13332.00,,,,,,,,14858.00,14858.00,7429.00
Tufty,"Tufty Sectional, Large Left Corner, Light Gray Wool",5422,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",258,13332.00,,,,,,,,14858.00,14858.00,7429.00
Tufty,"Tufty Sectional, Large, Left Chaise, Royal Blue Wool",5426,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",150,8165.00,,,,,,,,8818.00,8818.00,4409.00
Tufty,"Tufty Sectional, Extra Large Sofa, Royal Blue Wool",5421,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",239,6332.00,,,,,,,,6838.00,6838.00,3419.00
Tufty,"Tufty Sectional, Extra Large Sofa, Light Gray Wool",5420,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",239,6332.00,,,,,,,,6838.00,6838.00,3419.00
Tufty,"Tufty Sectional, Extra Large Right Corner, Royal Blue Wool",5419,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",239,13332.00,,,,,,,,14378.00,14378.00,7189.00
Tufty,"Tufty Sectional, Extra Large Right Corner, Light Gray Wool",5418,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",239,13332.00,,,,,,,,14378.00,14378.00,7189.00
Tufty,"Tufty Sectional, Extra Large Left Corner, Royal Blue Wool",5417,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",239,13332.00,,,,,,,,14378.00,14378.00,7189.00
Tufty,"Tufty Sectional, Extra Large Left Corner, Light Gray Wool",5416,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",239,13332.00,,,,,,,,14378.00,14378.00,7189.00
Tufty,"Tufty Sectional, Extra Deep Sofa, Royal Blue Wool",5415,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",136,6999.00,,,,,,,,7318.00,7318.00,3659.00
Tufty,"Tufty Sectional, Extra Deep Sofa, Light Gray Wool",5414,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",136,6999.00,,,,,,,,7318.00,7318.00,3659.00
Tufty,"Tufty Ottoman, Royal Blue Wool",5458,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",23,1665.00,,,,,,,,2018.00,2018.00,1009.00
Tufty,"Tufty Module, Right End, Armless, Royal Blue Wool",4205,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",41,2165.00,,,,,,,,2238.00,2238.00,1119.00
Tufty,"Tufty Module, Right End, Armless, Light Gray Wool",4201,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",41,2165.00,,,,,,,,2238.00,2238.00,1119.00
Tufty,"Tufty Module, Right Corner, Royal Blue Wool",5457,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",48,2332.00,,,,,,,,2458.00,2458.00,1229.00
Tufty,"Tufty Module, Right Corner, Light Gray Wool",5456,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",48,2332.00,,,,,,,,2458.00,2458.00,1229.00
Tufty,"Tufty Module, Right Corner Half, Royal Blue Wool",4249,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",65,2999.00,,,,,,,,3658.00,3658.00,1829.00
Tufty,"Tufty Module, Right Corner Half, Light Gray Wool",4245,"Experience the Tufty sectional, where the classic Chesterfield capitonné meets the relaxed vibes of the 70s. This modern masterpiece is a perfect blend of striking design and playful style, offering a touch of contemporary elegance to any space. Crafted with a simple modular concept, the Tufty provides ultimate flexibility, making it an adaptable choice for any environment—from cozy city lofts to expansive entertainment spaces. Part of the 4orm4 collection, it's the epitome of democratic design that fits seamlessly into various settings.",65,2999.00,,,,,,,,3658.00,3658.00,1829.00
